"","years","technology","scenario","capacity","generation","retirement","cap.change","investment","CAPEX","Fixed.O.M","Variable.O.M","Fuel","annual.capex","annual.FOM","annual.VOM","annual.Fuel","annual.opex"
"1560",2044,"Nuclear","95% by 2035",92091.6,731390,0,0,0,6190.5607649054,144.97233201581,2.35177865612648,7.50408658102767,0,13350734.0110672,1720067.39130435,5488413.88449783,20559215.2868693
"1561",2044,"PHS","Reference",36872.9,24225.044,0,617.75,617.75,0,17.6,0.5063,0,0,648963.04,12265.1397772,0,661228.1797772
"1562",2044,"PHS","95% by 2035",48485.4,37992.524,0,324.599999999999,324.599999999999,0,17.6,0.5063,0,0,853343.04,19235.6149012,0,872578.6549012
"1563",2044,"PHS","95% by 2050",37096.8,35012.828,0,322.199999999997,322.199999999997,0,17.6,0.5063,0,0,652903.68,17726.9948164,0,670630.6748164
"1564",2044,"PV dist","95% by 2050",124973.2,170754.26,436.618,3241.7,3678.318,600.14156893845,9.5054672199282,0,0,2207511.53557454,1187928.65596953,0,0,1187928.65596953
"1565",2044,"PV dist","95% by 2035",124973.2,167433.95,436.618,3241.7,3678.318,600.14156893845,9.5054672199282,0,0,2207511.53557454,1187928.65596953,0,0,1187928.65596953
"1566",2044,"PV dist","Reference",124973.2,172416.05,436.618,3241.7,3678.318,600.14156893845,9.5054672199282,0,0,2207511.53557454,1187928.65596953,0,0,1187928.65596953
"1567",2044,"PV utility","Reference",303061.8,675138.9,2847.24176106848,8064.79999999999,10912.0417610685,527.839850284488,13.1838132026705,0,0,5759810.48946046,3995510.16006509,0,0,3995510.16006509
"1568",2044,"PV utility","95% by 2035",631345.9,1321214.1,3611.7051348113,6185.59999999998,9797.30513481128,527.839850284488,13.1838132026705,0,0,5171408.07555023,8323546.41187189,0,0,8323546.41187189
"1569",2044,"PV utility","95% by 2050",463993.3,1005292.74,3146.06161955563,41357.2,44503.2616195556,527.839850284488,13.1838132026705,0,0,23490594.9504377,6117200.99449065,0,0,6117200.99449065
"1570",2044,"Wind off","95% by 2050",31331,115099.02,0,0,0,1653.52717670468,63.918362619467,0,0,0,2002626.21923052,0,0,2002626.21923052
"1571",2044,"Wind off","Reference",31331,116018.03,0,0,0,1653.52717670468,63.918362619467,0,0,0,2002626.21923052,0,0,2002626.21923052
"1572",2044,"Wind off","95% by 2035",31331,112322.37,0,0,0,1653.52717670468,63.918362619467,0,0,0,2002626.21923052,0,0,2002626.21923052
"1573",2044,"Wind on","Reference",239933.7,916659.4,2880.6,7838.79999999999,10719.4,577.5,27.1602,0,0,6190453.49999999,6516647.27874,0,0,6516647.27874
"1574",2044,"Wind on","95% by 2035",563007.7,1981170.4,2880.6,14019.6499999999,16900.2499999999,577.5,27.1602,0,0,9759894.37499995,15291401.73354,0,0,15291401.73354
"1575",2044,"Wind on","95% by 2050",382765.4,1402471.6,2880.6,25268,28148.6,577.5,27.1602,0,0,16255816.5,10395984.81708,0,0,10395984.81708
"1576",2045,"Batteries","95% by 2050",158499.35,249284.135,3184.12113888394,26945.85,30129.9711388839,400.059,10.001475,0,0,12053766.1238508,1585227.28654125,0,0,1585227.28654125
"1577",2045,"Batteries","95% by 2035",232961,334151.68,2580.56021697278,4623.10000000001,7203.66021697279,400.059,10.001475,0,0,2881889.10274192,2329953.617475,0,0,2329953.617475
"1578",2045,"Batteries","Reference",104775.5,143186.72,4103.39248492812,5786.8,9890.19248492812,400.059,10.001475,0,0,3956660.51532786,1047909.5438625,0,0,1047909.5438625
"1579",2045,"Biomass","95% by 2035",5437.25,33273.8125,108.15,-65.9499999999998,42.2000000000002,3737.88958133134,149.833992094862,4.79249011857707,3.19246619489232,157738.940332183,814684.873517788,159464.417613636,106225.521581436,1080374.81271286
"1580",2045,"Biomass","Reference",2766.3,15598.5335,108.15,-125.2,0,3737.88958133134,149.833992094862,4.79249011857707,3.19246619489232,0,414485.772332017,74755.8176630434,49797.7908886454,539039.380883706
"1581",2045,"Biomass","95% by 2050",2766.3,14325.377,108.15,-125.2,0,3737.88958133134,149.833992094862,4.79249011857707,3.19246619489232,0,414485.772332017,68654.2277173912,45733.281801588,528873.281850996
"1582",2045,"Coal","95% by 2035",26128.7,0,2062.78600383529,-1825.6,237.186003835288,2415.17012408114,64.5,6.84,4.86470098178416,572844.550313182,1685301.15,0,0,1685301.15
"1583",2045,"Coal","Reference",124024.05,448319.79,8145.31440479112,-8064.05,81.2644047911172,2415.17012408114,64.5,6.84,4.86470098178416,196267.362602742,7999551.225,3066507.3636,2180941.72256627,13247000.3111663
"1584",2045,"Coal","95% by 2050",119989.5,7022.8887,9968.80319990026,-10137.6,0,2415.17012408114,64.5,6.84,4.86470098178416,0,7739322.75,48036.558708,34164.2535538509,7821523.56226185
"1585",2045,"CSP","95% by 2035",0,0,0,0,0,2913.82371392927,38.977,2.8854875,0,0,0,0,0,0
"1586",2045,"CSP","95% by 2050",0,0,0,0,0,2913.82371392927,38.977,2.8854875,0,0,0,0,0,0
"1587",2045,"CSP","Reference",0,0,0,0,0,2913.82371392927,38.977,2.8854875,0,0,0,0,0,0
"1588",2045,"Gas CC","95% by 2035",332065.3,484789.55,5253.6,12433.1,17686.7,935.279990672282,27.3,1.74,1.10978655753656,16542016.6110235,9065382.69,843533.817,538012.925824198,10446929.4328242
"1589",2045,"Gas CC","Reference",372166.55,1476566.2,5253.6,4105.04999999999,9358.64999999999,935.279990672282,27.3,1.74,1.10978655753656,8752958.08470514,10160146.815,2569225.188,1638673.32007284,14368045.3230728
"1590",2045,"Gas CC","95% by 2050",325861.05,1041480.73,5253.6,-2445.64999999997,2807.95000000004,935.279990672282,27.3,1.74,1.10978655753656,2626219.44980827,8896006.665,1812176.4702,1155821.31408736,11864004.4492874
"1591",2045,"Gas CC CCS","Reference",0,0,0,0,0,1431.97616391325,55.8,4.91,1.10978655753656,0,0,0,0,0
"1592",2045,"Gas CC CCS","95% by 2035",388.9,1932.0673,0,0,0,1431.97616391325,55.8,4.91,1.10978655753656,0,21700.62,9486.450443,2144.18231779596,33331.252760796
"1593",2045,"Gas CC CCS","95% by 2050",0,0,0,0,0,1431.97616391325,55.8,4.91,1.10978655753656,0,0,0,0,0
"1594",2045,"Gas CT","Reference",157429.65,10038.9737,5858.3,6104.95000000001,11963.25,779.582735484165,20.9,4.94,1.10978655753656,9326343.16028095,3290279.685,49592.530078,11141.1180637231,3351013.33314172
"1595",2045,"Gas CT","95% by 2035",140906.75,777.59045,5794.8,-3769.64999999999,2025.15000000001,779.582735484165,20.9,4.94,1.10978655753656,1578771.97676576,2944951.075,3841.296823,862.959428678805,2949655.33125168
"1596",2045,"Gas CT","95% by 2050",137719.5,15940.5287,5858.3,-4636.89999999999,1221.40000000001,779.582735484165,20.9,4.94,1.10978655753656,952182.353120364,2878337.55,78746.211778,17690.5844712857,2974774.34624929
"1597",2045,"Geothermal","95% by 2035",7617.6,56527.499,25,93.8000000000002,118.8,4434.8836970894,126.52,0,0,526864.183214221,963778.752,0,0,963778.752
"1598",2045,"Geothermal","95% by 2050",7600.55,56371.771,25,76.75,101.75,4434.8836970894,126.52,0,0,451249.416178846,961621.586,0,0,961621.586
"1599",2045,"Geothermal","Reference",7157.15,53268.613,25,61.4499999999998,86.4499999999998,4434.8836970894,126.52,0,0,383395.695613378,905522.618,0,0,905522.618
"1600",2045,"Hydro","95% by 2050",79708.7,265807.425,0,50.4000000000087,50.4000000000087,2184.40712784887,54.65639,0,0,110094.119243602,4356589.793593,0,0,4356589.793593
"1601",2045,"Hydro","95% by 2035",80048.75,240153.465,0,40.4499999999971,40.4499999999971,2184.40712784887,54.65639,0,0,88359.2683214804,4375175.6990125,0,0,4375175.6990125
