"","technology","years","retirement","scenario"
"298","Geothermal",2050,10,"95% by 2050"
"299","Nuclear",2050,900.05,"95% by 2050"
"300","PV dist",2050,568.8,"95% by 2050"
"301","PV utility",2050,10076.9816218127,"95% by 2050"
"302","Wind off",2050,6.35000000000014,"95% by 2050"
"303","Wind on",2050,16419.4999,"95% by 2050"
"304","Biomass",2012,102.15,"Reference"
"305","Coal",2012,6788.05,"Reference"
"306","Gas CC",2012,34.7500000000001,"Reference"
"307","Gas CT",2012,4663.2,"Reference"
"308","Wind on",2012,18.5,"Reference"
"309","Biomass",2014,62.55,"Reference"
"310","Coal",2014,5734.8,"Reference"
"311","Gas CC",2014,803.899999999999,"Reference"
"312","Gas CT",2014,5188.3,"Reference"
"313","Nuclear",2014,2090.15,"Reference"
"314","Wind on",2014,8.69999999999999,"Reference"
"315","Biomass",2016,156.05,"Reference"
"316","Coal",2016,12428.65,"Reference"
"317","Gas CC",2016,391.15,"Reference"
"318","Gas CT",2016,7889.4,"Reference"
"319","Nuclear",2016,241.4,"Reference"
"320","PHS",2016,1.5,"Reference"
"321","Wind on",2016,58.1000000000001,"Reference"
"322","Biomass",2018,132.8,"Reference"
"323","Coal",2018,9514.2,"Reference"
"324","Gas CC",2018,1377.2,"Reference"
"325","Gas CT",2018,8017.75,"Reference"
"326","Nuclear",2018,303.85,"Reference"
"327","Wind on",2018,25.85,"Reference"
"328","Biomass",2020,246.35,"Reference"
"329","Coal",2020,10451.15,"Reference"
"330","Gas CC",2020,406,"Reference"
"331","Gas CT",2020,2882.55,"Reference"
"332","Nuclear",2020,1546.95,"Reference"
"333","Wind on",2020,61.2,"Reference"
"334","Coal",2022,5826.15,"Reference"
"335","Gas CC",2022,44.4999999999997,"Reference"
"336","Gas CT",2022,3504.95,"Reference"
"337","Nuclear",2022,2953.25,"Reference"
"338","Wind on",2022,67.35,"Reference"
"339","Batteries",2024,3,"Reference"
"340","Biomass",2024,8,"Reference"
"341","Coal",2024,14114.1423643484,"Reference"
"342","Gas CC",2024,890.950000000001,"Reference"
"343","Gas CT",2024,11621.6305793787,"Reference"
"344","Nuclear",2024,561,"Reference"
"345","PV utility",2024,0.818144632945469,"Reference"
"346","Wind on",2024,5.34999999999999,"Reference"
"347","Batteries",2026,16,"Reference"
"348","Coal",2026,4289,"Reference"
"349","Gas CC",2026,222.4,"Reference"
"350","Gas CT",2026,4329.9719025319,"Reference"
"351","Nuclear",2026,559,"Reference"
"352","PV utility",2026,0.880357481999428,"Reference"
"353","Wind on",2026,30,"Reference"
"354","Batteries",2028,57.6,"Reference"
"355","Biomass",2028,117.45,"Reference"
"356","Coal",2028,2494.70968144821,"Reference"
"357","Gas CC",2028,384.85,"Reference"
"358","Gas CT",2028,1523.17272831828,"Reference"
"359","PHS",2028,13.7,"Reference"
"360","PV utility",2028,0.970688484201341,"Reference"
"361","Wind on",2028,9.4,"Reference"
"362","Batteries",2030,58.7,"Reference"
"363","Biomass",2030,106.2,"Reference"
"364","Coal",2030,3367.9659729623,"Reference"
"365","Gas CC",2030,1451.15,"Reference"
"366","Gas CT",2030,6290.61310566213,"Reference"
"367","PHS",2030,1,"Reference"
"368","PV utility",2030,13.2242663783859,"Reference"
"369","Wind on",2030,392.4,"Reference"
"370","Batteries",2032,281.3,"Reference"
"371","Biomass",2032,38.7,"Reference"
"372","Coal",2032,1846.45,"Reference"
"373","Gas CC",2032,177,"Reference"
"374","Gas CT",2032,1139.45,"Reference"
"375","PV utility",2032,97.9889378868742,"Reference"
"376","Wind on",2032,1079.05,"Reference"
"377","Batteries",2034,249.05,"Reference"
"378","Biomass",2034,134,"Reference"
"379","Coal",2034,1868.95,"Reference"
"380","Gas CC",2034,859.499999999999,"Reference"
"381","Gas CT",2034,1909.1,"Reference"
"382","PV utility",2034,123.892331471587,"Reference"
"383","Wind on",2034,1132.3,"Reference"
"384","Batteries",2036,688.5,"Reference"
"385","Biomass",2036,121.3,"Reference"
"386","Coal",2036,632,"Reference"
"387","Gas CC",2036,428.2,"Reference"
"388","Gas CT",2036,1682.80446986929,"Reference"
"389","PV utility",2036,162.556329074331,"Reference"
"390","Wind on",2036,1252.9,"Reference"
"391","Batteries",2038,4357.50893575597,"Reference"
"392","Biomass",2038,399.55,"Reference"
"393","Coal",2038,1710.55,"Reference"
"394","Gas CC",2038,451.550000000001,"Reference"
"395","Gas CT",2038,1867.05307448339,"Reference"
"396","PV utility",2038,185.752751624896,"Reference"
"397","Wind on",2038,3923.3,"Reference"
"398","Batteries",2040,927.46134390918,"Reference"
"399","Biomass",2040,477.65,"Reference"
"400","Coal",2040,854.85,"Reference"
"401","Gas CC",2040,380.5,"Reference"
"402","Gas CT",2040,2988.65690691134,"Reference"
"403","Geothermal",2040,7.79999999999998,"Reference"
"404","PV dist",2040,29.2,"Reference"
"405","PV utility",2040,323.820388162088,"Reference"
"406","Wind on",2040,11313.65,"Reference"
"407","Batteries",2042,800.369288576911,"Reference"
"408","Biomass",2042,235.2,"Reference"
"409","Coal",2042,3051.25,"Reference"
"410","CSP",2042,33.0235,"Reference"
"411","Gas CC",2042,444.6,"Reference"
"412","Gas CT",2042,2460.1,"Reference"
