"Dim1","Dim2","Dim3","Dim4","Val"
"p10","p12","2028","AC",7.878
"p10","p12","2030","AC",7.878
"p10","p12","2032","AC",7.878
"p10","p12","2034","AC",7.878
"p10","p12","2036","AC",7.878
"p10","p12","2038","AC",7.878
"p10","p12","2040","AC",7.878
"p10","p12","2042","AC",7.878
"p10","p12","2044","AC",7.878
"p10","p12","2046","AC",7.878
"p10","p12","2048","AC",7.878
"p10","p12","2050","AC",7.878
"p10","p13","2010","AC",2283
"p10","p13","2012","AC",2283
"p10","p13","2014","AC",2283
"p10","p13","2016","AC",2283
"p10","p13","2018","AC",2283
"p10","p13","2020","AC",2283
"p10","p13","2022","AC",2283
"p10","p13","2024","AC",2283
"p10","p13","2026","AC",2283
"p10","p13","2028","AC",2317.12384705767
"p10","p13","2030","AC",2346.77927851122
"p10","p13","2032","AC",2353.12242283595
"p10","p13","2034","AC",2353.12242283595
"p10","p13","2036","AC",2353.12242283595
"p10","p13","2038","AC",2386.68372237
"p10","p13","2040","AC",2386.68372237
"p10","p13","2042","AC",2472.04928461546
"p10","p13","2044","AC",2514.70947690893
"p10","p13","2046","AC",2514.70947690893
"p10","p13","2048","AC",2514.70947690893
"p10","p13","2050","AC",2514.70947690893
"p10","p25","2010","DC",1920
"p10","p25","2012","DC",1920
"p10","p25","2014","DC",1920
"p10","p25","2016","DC",1920
"p10","p25","2018","DC",1920
"p10","p25","2020","DC",1920
"p10","p25","2022","DC",1920
"p10","p25","2024","DC",1920
"p10","p25","2026","DC",1920
"p10","p25","2028","DC",2002.27846247084
"p10","p25","2030","DC",2279.44022431927
"p10","p25","2032","DC",2323.47377117579
"p10","p25","2034","DC",2425.49504016156
"p10","p25","2036","DC",2455.92982847545
"p10","p25","2038","DC",2483.13972769315
"p10","p25","2040","DC",2517.21505376943
"p10","p25","2042","DC",2522.56170965264
"p10","p25","2044","DC",2539.05413421453
"p10","p25","2046","DC",2542.82694151452
"p10","p25","2048","DC",2542.82694151452
"p10","p25","2050","DC",2565.46236755903
"p10","p27","2010","AC",1746
"p10","p27","2012","AC",1746
"p10","p27","2014","AC",1746
"p10","p27","2016","AC",1746
"p10","p27","2018","AC",1746
"p10","p27","2020","AC",1746
"p10","p27","2022","AC",1746
"p10","p27","2024","AC",1746
"p10","p27","2026","AC",1746
"p10","p27","2028","AC",1746.40170192896
"p10","p27","2030","AC",1747.8526430877
"p10","p27","2032","AC",1803.77859242535
"p10","p27","2034","AC",1965.36264704705
"p10","p27","2036","AC",1972.11127863131
"p10","p27","2038","AC",2077.01794672456
"p10","p27","2040","AC",2086.1847509318
"p10","p27","2042","AC",2116.58870891109
"p10","p27","2044","AC",2131.25494610916
"p10","p27","2046","AC",2131.25494610916
"p10","p27","2048","AC",2131.25494610916
"p10","p27","2050","AC",2131.4722507796
"p10","p28","2010","AC",1204.407
"p10","p28","2012","AC",1204.407
"p10","p28","2014","AC",1204.407
"p10","p28","2016","AC",1204.407
"p10","p28","2018","AC",1204.407
"p10","p28","2020","AC",1204.407
"p10","p28","2022","AC",1204.407
"p10","p28","2024","AC",1204.407
"p10","p28","2026","AC",1204.407
"p10","p28","2028","AC",1204.407
"p10","p28","2030","AC",1204.407
