"Dim1","Dim2","Dim3","Val"
"can-imports","p42","2038",12.83315
"can-imports","p42","2040",-10.875
"can-imports","p103","2012",-84.94565
"can-imports","p103","2014",-106.30175
"can-imports","p103","2016",-111.0352
"can-imports","p103","2018",262.08555
"can-imports","p103","2020",134.6087
"can-imports","p103","2022",193.8352
"can-imports","p103","2024",-32.1789
"can-imports","p103","2026",71.5053
"can-imports","p103","2028",-172.05585
"can-imports","p103","2030",5.22714999999999
"can-imports","p103","2032",-0.42195000000001
"can-imports","p103","2034",-53.5751
"can-imports","p103","2036",27.70205
"can-imports","p103","2040",23.28945
"can-imports","p127","2012",-237.8152
"can-imports","p127","2014",-96.5072
"can-imports","p127","2016",-153.5037
"can-imports","p127","2018",15.3231499999999
"can-imports","p127","2020",127.09415
"can-imports","p127","2022",218.43915
"can-imports","p127","2024",-33.83045
"can-imports","p127","2026",97.44095
"can-imports","p127","2028",-166.8865
"can-imports","p127","2030",28.9824
"can-imports","p127","2032",10.41085
"can-imports","p127","2034",-8.84225000000004
"can-imports","p127","2036",63.5559500000001
"can-imports","p127","2038",16.38585
"can-imports","p127","2040",28.33015
"can-imports","p129","2012",-305.73915
"can-imports","p129","2014",19.58915
"can-imports","p129","2016",-84.9369499999998
"can-imports","p129","2018",-493.5248
"can-imports","p129","2020",-15.0291
"can-imports","p129","2022",49.2077999999999
"can-imports","p129","2024",-3.30304999999998
"can-imports","p129","2026",51.8713
"can-imports","p129","2028",10.3387
"can-imports","p129","2030",47.51045
"can-imports","p129","2032",21.6656500000001
"can-imports","p129","2034",89.4656499999999
"can-imports","p129","2036",71.7078000000001
"can-imports","p129","2038",32.7717499999999
"can-imports","p129","2040",10.0813000000001
"can-imports","p134","2012",17.02105
"can-imports","p134","2014",-84.05345
"can-imports","p134","2016",15.56345
"can-imports","p134","2018",-65.83955
"can-imports","p134","2020",77.2239
"can-imports","p134","2022",29.9948
"can-imports","p134","2024",-1.0624
"can-imports","p134","2026",-3.56740000000001
"can-imports","p134","2028",4.86
"can-imports","p134","2030",-15.9489
"can-imports","p134","2032",-0.845849999999999
"can-imports","p134","2034",-0.815250000000006
"can-imports","p134","2036",-1.91735
"can-imports","p134","2038",-12.3437
"can-imports","p134","2040",9.60455
"Coal-IGCC","p105","2016",42.5
"Coal-IGCC","p107","2024",297.5
"coal-new","p13","2014",100
"coal-new","p18","2028",53.5
"coal-new","p23","2024",127.5
"coal-new","p25","2050",225
"coal-new","p28","2020",190
"coal-new","p28","2026",193.5
"coal-new","p29","2032",208.5
"coal-new","p31","2022",423.5
"coal-new","p33","2012",0.2
"coal-new","p34","2014",7.5
"coal-new","p34","2022",162.5
"coal-new","p34","2026",167.5
"coal-new","p38","2050",237
"coal-new","p43","2016",23.2000000000001
"coal-new","p43","2018",77.45
"coal-new","p43","2034",255.5
"coal-new","p45","2044",72.85
"coal-new","p46","2014",3.44999999999999
"coal-new","p53","2044",29.0999999999999
"coal-new","p53","2046",29.25
"coal-new","p53","2048",402.1
"coal-new","p54","2018",49.1500000000001
"coal-new","p54","2044",282
"coal-new","p54","2046",42
"coal-new","p55","2014",7.25
"coal-new","p55","2020",99
"coal-new","p57","2018",397.5
"coal-new","p70","2026",1.45000000000005
"coal-new","p70","2048",44.95
"coal-new","p72","2042",243.5
"coal-new","p72","2044",243.5
"coal-new","p77","2022",153.75
"coal-new","p81","2026",85
"coal-new","p82","2020",71.75
"coal-new","p82","2022",157.5
"coal-new","p82","2024",88.85
"coal-new","p88","2024",220
"coal-new","p89","2044",28.1000000000001
"coal-new","p89","2050",444.3
"coal-new","p90","2020",238
"coal-new","p90","2044",181
"coal-new","p90","2046",378.25
"coal-new","p91","2024",37.5
"coal-new","p91","2026",37.5
"coal-new","p91","2046",149.5
"coal-new","p91","2048",237.5
"coal-new","p92","2024",435
"coal-new","p92","2030",435
"coal-new","p92","2048",619.5
"coal-new","p93","2028",67
"coal-new","p93","2030",67
"coal-new","p94","2042",6.09999999999991
"coal-new","p94","2044",6.09999999999991
"coal-new","p94","2048",362
"coal-new","p94","2050",934.15
"coal-new","p96","2046",342
"coal-new","p96","2048",302.5
"coal-new","p96","2050",137.5
"coal-new","p97","2020",189
"coal-new","p97","2024",291
"coal-new","p97","2028",258
"coal-new","p97","2034",370
"coal-new","p97","2044",329
"coal-new","p97","2046",330
"coal-new","p97","2050",1110
"coal-new","p98","2018",22
"coal-new","p98","2042",189.5
"coal-new","p98","2044",334
"coal-new","p98","2048",347
"coal-new","p99","2024",572.65350338564
"coal-new","p99","2026",487.79649661436
"coal-new","p102","2020",165
"coal-new","p103","2024",127.5
"coal-new","p103","2046",407.15
"coal-new","p103","2050",381
"coal-new","p105","2024",215.5
"coal-new","p105","2028",227.5
"coal-new","p105","2046",250
"coal-new","p105","2048",247.5
"coal-new","p107","2022",140
"coal-new","p107","2024",210.9
"coal-new","p107","2030",488.75
"coal-new","p107","2036",75.3
"coal-new","p107","2040",131.25
"coal-new","p107","2046",147.9
"coal-new","p107","2048",135
"coal-new","p107","2050",315
"coal-new","p108","2020",616.9
"coal-new","p108","2044",75
"coal-new","p108","2046",146.5
"coal-new","p109","2016",84
"coal-new","p109","2050",237
"coal-new","p111","2046",307.5
"coal-new","p112","2020",570
"coal-new","p112","2030",481.4
"coal-new","p112","2042",730
"coal-new","p114","2026",510
"coal-new","p115","2014",265
"coal-new","p115","2046",282.5
"coal-new","p116","2040",277
"coal-new","p116","2042",277.5
"coal-new","p116","2044",273
"coal-new","p116","2046",780
"coal-new","p116","2048",260
"coal-new","p117","2046",400
"coal-new","p117","2048",1050
"coal-new","p118","2024",305
"coal-new","p121","2024",90
"coal-new","p122","2020",60.5
"coal-new","p122","2044",371
"coal-new","p122","2048",752
"coal-new","p123","2020",318.5
"coal-new","p123","2046",602.5
"coal-new","p127","2014",5.5
"coal-new","p127","2034",92.5
"coal-new","p127","2036",92.5
